Llave,Valor,Image Name
$Introducción,,
Principios Generales Directriz,"Las siguientes directrices se han escrito teniendo en cuenta la población y los recursos locales más fácilmente disponible para nuestra organización.

Siempre que sea posible, las directrices se deben seguir como está escrito. Sin embargo, los pacientes deben ser tratados siempre de forma individual.

A veces puede ser conveniente alejarse de estas directrices: para los pacientes individuales o si los recursos específicos son bajos.

<b> Todos los casos en que las directrices no se están siguiendo debe ser discutido con el proveedor médico principal supervisar la clínica. </b>

Como descubrirá, la práctica de la medicina en un lugar remoto requiere un enfoque diferente.

Las siguientes directrices fueron escritas con la medicina basada en la evidencia, así como, lo que es prácticamente disponible y posible en nuestro entorno. Por favor, hable regularmente pacientes con nuestros proveedores de servicios médicos de plomo (LMP), que tienen experiencia en el tratamiento de pacientes de nuestro entorno único.

Incluso las condiciones relativamente comunes pueden ser tratados de manera diferente en nuestro medio para una variedad de razones.

Los proveedores de servicios médicos de plomo están ahí para asegurarse de que el tratamiento de cada uno de nuestros pacientes recibe, se reúne flotante estándares médicos. Los planes de tratamiento pueden diferir entre las comunidades también, dependiendo de los recursos locales y centros de salud más cercanos.
",
Las Recetas,"En la prescripción de medicamentos por favor asegúrese siempre de que el paciente es consciente de la indicación, el nombre y la dosis de cada medicamento recetado. Esto les permitirá informar a los médicos en el futuro, incluyendo a otros centros de salud.

Esto se puede hacer fácilmente usando nuestros flotantes médicos talonarios de recetas (colocando un guión con cada bolsa de medicamentos). Por favor, tenga en cuenta que no todos los pacientes son capaces de leer.

En el caso de un paciente analfabeta tenemos hojas especiales con símbolos, éstos se pueden encontrar en nuestros paquetes de proveedor. Un recurso útil es miembros de la familia - casi siempre habrá un miembro de la familia que vive en la casa y que es capaz de leer y ayudar al paciente con su tratamiento.
                                                                                                                               
Si un paciente es diagnosticado con una enfermedad crónica, que requiere medicación a largo plazo, por favor, rellene una tarjeta médicos flotante para el paciente. Información sobre el diagnóstico, la medicación, la presión arterial y azúcar en la sangre deben ser documentados y la tarjeta dada al paciente. Las tarjetas se pueden modificar para las próximas sesiones, dependiendo del tratamiento. Las tarjetas permitirán al paciente, y cualquier médico ver al paciente, a saber lo que los estamos tratando de.
",
Las Consultas De Medicación,"Para obtener una lista de todos los medicamentos que tenemos en stock y la información de prescripción para cada uno, consulte la sección ""Medicamentos Esenciales. También tenemos una copia impresa de un documento 'Medicamentos Esenciales' disponible en la clínica. Esta información sobre todas las medicinas que llevamos incluyendo las indicaciones y las dosis para cada uno.

En la clínica también realizamos el Formulario Nacional Británico (BNF) para adultos y niños. Utilice el BNF para cualquier consulta medicamentos no contestadas por el documento de medicamentos esenciales. Es vital para comprobar los efectos secundarios y contraindicaciones de todos los medicamentos recetados, especialmente en los niños, el embarazo y la lactancia.

En general, tratar de ser mucho más conservadores con los tratamientos prescritos y sólo les damos si es absolutamente necesario.

Un buen ejemplo de esto es el uso de AINE. A menudo tenemos que pedir voluntarios para prescribir menos AINE porque 1) no sabemos si el paciente tiene una disfunción renal 2) si el paciente desarrolla gastritis úlcera / péptica que a menudo tienen muy difícil el acceso a la asistencia sanitaria 3) a menudo el paracetamol es suficiente y AINE es no es necesario.

ratios de riesgo-beneficio de los tratamientos pueden ser diferentes que en el país del proveedor, nuestros LMP están ahí para ayudar con las decisiones de prescripción. Aconsejar a los pacientes sobre todos los efectos secundarios y los riesgos es esencial, como lo es en todos los entornos.",
,,
$Presentaciones Comunes,,
2.1 Fiebre,,
Presentación,"Generalmente se presentan con fiebre subjetiva que puede ser tomado como verdadero en este entorno.

Temperatura> 38 grados centígrados.

Escalofríos, rigidez, sepsis.",
Causas,"Aunque la fiebre es con frecuencia de origen viral, enfermedad grave debe ser excluido [1]
    - viral, o una infección bacteriana parasitaria
    - Neumonía.
    - La pielonefritis.
    - El dengue.
    - La malaria (menos probable).
    - Meningitis bacterial.
    - Infecciones de la piel.
    - La malignidad.
    - Vasculitis / trastornos autoinmunes.",
Evaluación,"Una evaluación completa debe llevarse a cabo para identificar la causa (s) de la fiebre. Varias fuentes pueden encontrarse por lo que siempre hacer una revisión completa.

<b> ingesta completa </ ​​b>
Incluyendo la presión arterial, frecuencia respiratoria y ritmo cardíaco.

<b> Historia </b>
Establecer patrón y la duración de la fiebre.
Revisión de sistemas.

<b> Examen </b>
Cada sistema de órganos.

<b> Para niños </b>
Compruebe la piel, garganta y oídos.
Preguntar acerca de los síntomas gastrointestinales y convulsiones.
prueba de orina con tira reactiva.",
Diagnóstico,"Temperatura> 38 grados centígrados.

temperatura axilar subestima la temperatura corporal central en aproximadamente 0,5 grados Celsius. [2]

0,5 grados Celsius se añadirá a cualquier medición axilares en la ingesta.",
Administración General,"<b> lactantes (niños de 0-28 días) </b>
“Todos los neonatos febriles de edades 0-28 días de edad deben ser hospitalizados para la presunta sepsis y tratados con antibióticos pendientes los resultados del cultivo (48 horas).” [3, 4]

<b> lactantes (niños de 28-90 días) </b>
“Todos los lactantes febriles de edades 28-60 días, después de tener una evaluación de la sepsis, deben ser hospitalizados y empíricamente comenzaron en antibióticos intravenosos pendientes los resultados del cultivo.” [3]
Lactantes de 28-90 días requerirán una serie de investigaciones para las que es necesaria la hospitalización.
Independientemente del resultado de hospitalización,
estos niños todavía requieren seguimiento cada 24 horas hasta que la fiebre haya desaparecido y todas las culturas son negative.5

<b> lactantes (de 3 meses a 3 años) </b>
Se evalúan los “niños febriles de 3 meses a 3 años,
sobre la base de los hallazgos epidemiológicos y focales reveladas
durante el interrogatorio y el examen físico
así como si estos niños son
con bajo riesgo de infecciones bacterianas graves [3,6].

Identificación y manejo adecuado depende de la causa subyacente. En el caso de infecciones virales autolimitadas, la única gestión requerida es un consejo y consuelo.

Si se sospecha de enfermedad meningocócica, dar antibióticos ceftriaxona en la primera oportunidad.

<b> Educación para la Salud para los pacientes y sus familiares </b>
El estrés importancia de una adecuada, y el aumento de la ingesta de líquidos.
No llevar demasiada ropa o usar demasiadas mantas.
No limpie el sudor de inmediato ya que esto ayuda a enfriar el cuerpo.
No se recomiendan los baños de agua fría y esponja con agua tibia.

<b> fármacos antipiréticos </b>
La fiebre es la respuesta normal del cuerpo a la infección y menos que el niño se angustia o sintomática, la fiebre por sí sola no debe ser rutinariamente treated.There evidencia de que los mecanismos de defensa del huésped se ven reforzadas por una temperatura elevada.
Antipiréticos (por ejemplo, el paracetamol y el ibuprofeno) no deben por lo tanto ser utilizados de forma rutinaria, pero pueden ser de valor, en especial para los pacientes con enfermedad sistémica (insuficiencia particularmente del corazón o insuficiencia respiratoria) y cuando la fiebre causa confusión aguda.
Considerar o bien el paracetamol o el ibuprofeno como una opción si un niño aparece en dificultades o no se encuentra bien.

El tratamiento farmacológico (consulte BNF o BNF para niños)

Primera linea:
El paracetamol / acetaminofeno
Segunda linea:
El ibuprofeno

** Por favor evitar máximo de dosificación en su caso. dosificación superior no se recomienda en esta región debido a la deshidratación crónica e insuficiencia renal **


",
Tratamiento,"<b> Los niños </b>
El paracetamol / acetaminofeno:
15-20 mg / kg cada 8 horas según sea necesario.

2ª línea:
El ibuprofeno. *
1-2 meses: 5 mg / kg cada 8 horas según sea necesario.
Más de 2 m: 5-10 mg / kg cada 8 horas según sea necesario.

<I> no prescriben los dos juntos en los niños </ i>

<I> * No prescribir en niños con erupción cutánea - debido a una reacción potencialmente grave en la varicela </ i>

<b> Adultos </b>
El paracetamol / acetaminofeno.
500-100mg cada 6-8 horas según sea necesario.
(4 g Máximo / 24 horas).

2ª línea:
El ibuprofeno 200-400 mg cada 8 horas según sea necesario.
",
Notas Sobre Los Aine,"Dosis más altas de AINEs no se recomienda en esta región debido a la deshidratación crónica e insuficiencia renal.

No use ibuprofeno / aspirina en las mujeres embarazadas / lactantes y evitar en los pacientes con enfermedad de úlcera péptica.

Evitar el ibuprofeno en niños con fiebre y lesiones cutáneas, un efecto adverso raro está empeoramiento de las lesiones de la piel en la varicela, que puede ser potencialmente mortal. El paracetamol es el fármaco de elección.
",
Referencias,"[1] La fiebre y los sudores nocturnos. Información fiebre. Paciente. Disponible en: https://patient.info/doctor/fever-and-night-sweats-pro. (Consultado: 7ª de septiembre de 2017).
[2] Temperaturas Fiebre: Exactitud y Comparación-Topic Visión general. WebMD Disponible en: http://www.webmd.com/children/tc/fever-temperatures-accuracy-and-comparison-topic-overview. (Consultado: 7ª de septiembre de 2017).
[3] Fiebre en el lactante y del Tratamiento y manejo del niño: consideraciones de aproximación, Gestión de fiebre en los recién nacidos y lactantes jóvenes, manejo de la fiebre en niños de 3 meses a 3 años. Disponible en: http://emedicine.medscape.com/article/1834870-treatment#d10. (Consultado: 7ª de septiembre de 2017).
[4] Gestión Emergente de pacientes pediátricos con fiebre: Descripción general, historia del paciente, el examen físico. Disponible en: http://emedicine.medscape.com/article/801598-overview#showall. (Consultado: 7ª de septiembre de 2017).
[5] El tratamiento clínico de la fiebre en niños menores de tres años de edad. Pediatr. Salud Infantil (2007). doi: 10.1093 / PCH / 12.6.469.
[6] La fiebre en los bebés y niños pequeños El tratamiento: Consideraciones de aproximación, estudios de diagnóstico en recién nacidos, estudios de diagnóstico en bebés pequeños. Disponible en: http://emedicine.medscape.com/article/1834870-workup. (Consultado: 7ª de septiembre de 2017).
[7] La ​​fiebre en los menores de 5 años: evaluación y manejo inicial | Orientación y directrices | BONITO.
[8] La fiebre y sudores nocturnos. Información fiebre. Paciente. Disponible en: https://patient.info/doctor/fever-and-night-sweats-pro. (Consultado: 7ª de septiembre de 2017).
",
,,
2.2 Dolor De Cabeza,,
Causas,"En nuestro medio, una de las causas más comunes es la deshidratación [1]. El conocimiento de esta y asesoramiento a los pacientes para aumentar la ingesta oral tanto, es vital.

Otras causas incluyen, pero no se limitan a [2]:

<b> Primary Headache </b>
Tensión
Migraña
Terrible dolor de cabeza

<b> cefalea secundaria </b>
La lista de causas de dolores de cabeza secundarios es exhaustiva y se puede encontrar en otras partes [1,3]. Está incluido pero no limitado a: la meningitis, la arteritis de células gigantes, sinusitis y problemas visuales.",
Evaluación,"<b> Historia </b>
Establecer la ingesta de líquidos normal del paciente.
La mayor parte de la población beber sólo 1-3 vasos de agua al día, a menudo mientras se trabaja en el sol!

Una buena historia es fundamental para el diagnóstico y tratamiento de dolor de cabeza. Se debe prestar especial atención a las señales de alerta [4]:

<b> Banderas rojas </b>
- Nuevo dolor de cabeza inicio.
- El inicio después de la edad de 50 años.
- Cambio en el patrón de dolor de cabeza.
- Empeoramiento dolor de cabeza.
- aguda o aparición repentina.
- La aparición súbita durante el esfuerzo / deformación.
- Cefalea peor al acostarse.
- En un paciente con tumor maligno o el VIH.
- Con fiebre, sudores nocturnos, pérdida de peso.
- Los síntomas neurológicos o signos.

<b> Examen </b>
se llevará a cabo la ingesta normal.
Observe el pie del paciente y la comunicación.
Examen específico a los hallazgos en la historia.
En caso de señales de alerta, asegurar un examen neurológico completo se lleva a cabo - incluyendo el fondo de ojo (para descartar edema de papila).
Cualquier pregunta o inquietud debe ser criados con la supervisión de LMP.",
Diagnóstico,"Mientras que el acceso a las investigaciones clínicas durante flotantes Doctors’ será algo limitada, una historia simple y examen será determinar la causa de la mayoría de los escenarios.

Si se provocan ninguna bandera roja, o relativos a características, por favor hable con un proveedor médico principal. En función de la urgencia de la situación, podemos:

- Organizar una cita en el hospital de emergencia.
- Acelerar la atención secundaria en una fecha posterior.",
2.2.1 Gestión,,
